13,Dr. Ali Mhamoud Elagab,Mediclinic Madinat Zayed
14,Dr. Gelan Mohamed Sadek,Mirdif - Medcare Medical Centre
15,Dr. Fatima Ibragimova,Mediclinic Dubai Mall
16,Dr. Ayesha Akram,Mediclinic Al Mussafah
17,Dr. Sundus Al Agram,New Hope IVF Hospital
18,Dr. Anas Seeda,JBR - Medcare Medical Centre
19,Dr. Sameh Farouk Zaki,Derma Medical Center
0,Dr. Ekaterina Pryakhina,Emirates Hospital Clinic - Business Bay
1,Dr. Naglaa Abdelkawy,Emirates Hospital Clinic - Julphar Tower (RAK)
2,Dr. Moath Alnemrawi,Medcare Medical Centre Sharjah
3,Dr. Mustapha Rashid,Valiant Clinic & Hospital
4,Dr. Sali Aman,Emirates Hospital Clinic - Palm Jumeirah
5,Dr. Rashmi Kumar,Emirates Hospital Day Surgery - Abu Dhabi
6,Dr. Risalatelislam Babiker Omer,Mediclinic Al Madar
7,Dr. Nkechi Omonigho,Emirates Hospital Day Surgery - Abu Dhabi
8,Dr. Rubina Muneeb,Jumeirah - Medcare Medical Centre
9,Dr. Zulaikha Babiker Elsheikh,Rashidiya - Medcare Medical Centre
10,Dr. Hiba Aldabbagh,Discovery Garden - Medcare Medical Centre
11,Dr. Shaza Mohammed,Al Barsha - Medcare Medical Centre
12,Dr. Feyruz Sufi,Valiant Clinic & Hospital
13,Dr. Maha Osman,Mirdif - Medcare Medical Centre
14,Dr. Faisal Baddar,Valiant Clinic & Hospital
15,Dr. Anjum Ishaque,Mediclinic Dubai Mall
16,Dr. Rowena Eadie,Valiant Clinic & Hospital
17,Dr. Nashwa Dyab,JBR - Medcare Medical Centre
18,Dr. Muntasir Ahmed Gubara Ahmed,Mediclinic Al Mussafah
19,Dr. Vladimir Karamouchkine,Mediclinic Dubai Mall
0,Dr. Gordon Bland,Mediclinic Dubai Mall
1,Dr. Mustafa Ali Elhassan,Mediclinic Al Mussafah
2,Dr. Hiba Waleed Kashmoola,Medcare Medical Centre Sharjah
3,Dr. Anahita Farahbod,Mediclinic Dubai Mall
4,Dr. Jose Romualdo Acevedo Polo,HealthPlus Family Clinic - Al Bandar
5,Dr. Enas Othman,Medica Zone Clinic
6,Dr. Jiji Mol Palayyan Juliet,iCARE Blue Emirates Star Medical Centre - Al Quoz
7,Dr. Wendyliza Paz,iCARE Blue Clinic - Satwa
8,Dr. Farid Afridi,iCARE Blue Emirates Star Medical Centre - Al Quoz
9,Dr. Mikhshaf Butt,Apple Clinic International City
10,Dr. Ghazala Rizwan,Medstar Healthcare LLC
11,Dr. Seyed Najafi,Emirates Hospital Clinic - Marina
12,Dr. Padmaja Meda,Emirates Hospital Day Surgery - Motorcity
13,Dr. Sergii Kovalchuk,Emirates Hospital Day Surgery - Motorcity
14,Dr. Sarwan Saleem,Dubai London Clinic Dubai - Festival City Dubai
15,Dr. Anahita Kaul,Dubai London Clinic - The Villa Centro
16,Dr. Jelena Maksimovic,Emirates Hospital Clinic - Palm Jumeirah
17,Dr. Islam Mohamed Sabry,Emirates Hospital Clinic - Julphar Tower (RAK)
18,Dr. Muhammad Younas,Emirates Hospital Clinic - Fujairah
19,Dr. Aashni Hakkim,NMC Royal Hospital
0,Dr. Abbas Zainli,Belhoul Speciality Hospital LLC
1,Dr. Ahmed Hannon,Eye Consultants Dubai
2,Dr. Banan M Khalafalla,Health & Style Medical Centre
3,Dr. Merfat Alhaj,Canadian Specialist Hospital
4,Dr. Afrah Khalid Gabir Musa,Canadian Specialist Hospital
5,Dr. Assia Boukhanchouche,Canadian Specialist Hospital
6,Dr. Faisal Muhammad Akbar,Canadian Specialist Hospital
7,Dr. Mohammed Maki Shalal,Canadian Specialist Hospital
8,Dr. Shilpa Dudani,Canadian Specialist Hospital
9,Dr. Zahid Khan,Canadian Specialist Hospital
10,Dr. Bobomurod Keldiyorov,Canadian Specialist Hospital
11,Dr. Thankam Boniface,First Medical Center Dubai
12,Dr. Caecilia Verlinden,Somerset Clinic FZ-LLC
13,Dr. Nazia Khanam Salam,Allied Medical Centre Dubai
14,Dr. Muhammad Khan,Dubai London Clinic and Speciality Hospital - Palm Jumeirah
15,Dr. Saima Salahuddin,Westminster Ortho Med Clinic Dubai
16,Dr. Onur Gozen,German Heart Centre Bremen
17,Dr. Mira Mourice Awad,Emirates Hospital Day Surgery - Motorcity
18,Dr. Emad Mohammed Zain,Mediclinic Al Mussafah
19,Dr. Hafiz Idrees,Dubai London Clinic Dubai - Festival City Dubai
0,Dr. Nafeesa Alwathaifi,Emirates Hospital Day Surgery - Motorcity
1,Dr. Hind El Amin,Canadian Medical and Rehabilitation Center
2,Dr. Lobna Hammad Eid Ouda Elshaer,Canadian Medical and Rehabilitation Center
3,Dr. Suha Al Rifi,Highness Beauty Clinics & Spa Dubai
4,Dr. Tamer GamalEldin Ahmed Omar,Valiant Clinic & Hospital
5,Dr. Hamida Nur,Emirates Specialty Hospital
6,Dr. Mariam Ali,Emirates Specialty Hospital
7,Dr. Raheela Naz,Emirates Specialty Hospital
8,Dr. Sanjeeda Akhter,Emirates Specialty Hospital
9,Dr. Sruthilaya Sukumaran,Emirates Specialty Hospital
10,Dr. Amany Mohammed Ahmed Abdallah,Emirates Specialty Hospital
11,Dr. Mohamed Afif Valiyakath Akber Ali,Emirates Specialty Hospital
12,Dr. Hamidah Safi,Emirates Specialty Hospital
13,Dr. Reemas Altom,Emirates Specialty Hospital
14,Dr. Rawya Abdalla,Emirates Specialty Hospital
15,Dr. Alaa Shadid,Emirates Specialty Hospital
16,Dr. Mostafa Gaber,Emirates Specialty Hospital
17,Dr. Manar Mohamed Ahmed Asal,Emirates Specialty Hospital
18,Dr. Athira Rajan,Emirates Specialty Hospital
19,Dr. Dima Lotfie,Emirates Specialty Hospital
